"Name","Make","Model","Serial Number","Category","Location","Collection","Condition","Heir","Purchased From","Purchase Date","Quantity","Price","Value","Tags"
"32GB microSD card U3","SanDisk","Extreme","1381YPCK165P","Digital Storage Media","(unspecified)","Computer External Storage","(unspecified)","(unassigned)",,,"1",,,
"512GB microSD card U3","Samsung","EVO Select MB-ME512H","MBMEFGVJOAJW-5 DLLY335GC116","Digital Storage Media","(unspecified)","Computer External Storage","(unspecified)","(unassigned)",,,"1",,,
"400GB microSD card U3","SanDisk","Extreme","9133DVPKY09Y","Digital Storage Media","(unspecified)","Computer External Storage","(unspecified)","(unassigned)",,,"1",,,
"HomePod (Black)","Apple","HomePod","CC4VMPCJHQK8","Electronics","(unspecified)","Apple products","(unspecified)","(unassigned)","Apple.com","6/21/18","1",,,"Apple"
"GoPro Hero Session","GoPro","Hero Session",,"Photography Equipment","(unspecified)","Action cameras","(unspecified)","(unassigned)","Amazon.com","6/17/16","1","$199.00",,
"PeakDesign Mobile Everyday Loop Case iPhone 14 Pro Max Charcoal","PeakDesign","Mobile Everyday Loop Case iPhone 14 Pro Max Charcoal","HGLAZ35D01942","(uncategorized)","(unspecified)","PeakDesign Mobile","(unspecified)","(unassigned)","PeakDesign",,"1",,,
"Glyph Atom Pro 2TB","Glyph","A2000PRO",,"Digital Storage Media","(unspecified)","Computer External Storage","(unspecified)","(unassigned)","Amazon","11/23/20","1","$599.45","$699.95",
"2020 Model X","Tesla","Model X","5YJXCAE26LF286058","Automotive","Garage","(uncollected)","Excellent","(unassigned)","Tesla.com","8/13/20","1","$104,273.10","$94,790.00",
"8Bitdo Sn30 Pro","8Bitdo","Sn30 Pro",,"Electronics","(unspecified)","Gaming stuff","(unspecified)","(unassigned)","Amazon.com","7/16/19","1","$44.99","$44.99",
"Glyph Atom RAID SSD 2TB Black","Glyph","AR2000BLK",,"Digital Storage Media","(unspecified)","Computer External Storage","(unspecified)","(unassigned)","Amazon","12/29/17","1","$819.95","$819.95",
"Oura Ring Heritage","OURA","Heritage Stealth",,"Jewelry","(unspecified)","(uncollected)","(unspecified)","(unassigned)","ouraring.com","10/7/18","1","$364.00","$399.00",
"PlayStation 4 Pro White Edition","Sony",,,"Electronics","(unspecified)","Gaming stuff","(unspecified)","(unassigned)",,,"1",,,
